Código IES;Nome do Curso
1317;ENFERMAGEM
322;ENFERMAGEM
1322;AGRONOMIA
533;DIREITO
2056;ESTÉTICA E COSMÉTICA
55;GEOCIÊNCIAS E EDUCAÇÃO AMBIENTAL
124;NUTRIÇÃO
4150;ENFERMAGEM
316;PRODUÇÃO PUBLICITÁRIA
56;LETRAS - PORTUGUÊS E GREGO
376;SISTEMAS DE INFORMAÇÃO
135;EDUCAÇÃO FÍSICA
14194;TEOLOGIA
1541;EDUCAÇÃO FÍSICA
546;PROCESSOS GERENCIAIS
1388;LOGÍSTICA
1838;DIREITO
1046;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
4017;PRODUÇÃO MULTIMÍDIA
5669;ADMINISTRAÇÃO
1752;DIREITO
434;ENFERMAGEM
36;GESTÃO PORTUÁRIA
665;FISIOTERAPIA
4925;CIÊNCIAS BIOLÓGICAS
322;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1711;BIOMEDICINA
466;PSICOLOGIA
316;MEDICINA
60;PSICOLOGIA
4007;CIÊNCIA DA COMPUTAÇÃO
322;ADMINISTRAÇÃO
881;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
1433;GESTÃO DE RECURSOS HUMANOS
319;CIÊNCIAS BIOLÓGICAS
79;GEOGRAFIA
1294;JOGOS DIGITAIS
481;PROJETO EM WEB DESIGN
150;PSICOLOGIA
1490;GASTRONOMIA
481;DESIGN
56;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA
60;CIÊNCIAS CONTÁBEIS
495;SERVIÇO SOCIAL
1742;GESTÃO FINANCEIRA
19;ARQUITETURA E URBANISMO
203;PSICOLOGIA
1834;GESTÃO DE RECURSOS HUMANOS
1444;CIÊNCIAS CONTÁBEIS
24253;DIREITO
19;MATEMÁTICA
376;GASTRONOMIA
167;RÁDIO TV E INTERNET
15859;DIREITO
221;DIREITO
670;PSICOLOGIA
1100;CIÊNCIAS BIOLÓGICAS
4022;DEFESA CIBERNÉTICA
254;SERVIÇOS NOTARIAIS E REGISTRAIS
