Localidades;Períodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino Médio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;Cód. IBGE
Adamantina;2019;10305;773;1573;6059;1900;3500105
Adolfo;2019;949;255;203;351;140;3500204
Aguaí;2019;7223;829;1518;3707;1169;3500303
Águas da Prata;2019;1016;136;191;469;220;3500402
Águas de Lindóia;2019;4704;642;753;2573;736;3500501
Águas de Santa Bárbara;2019;1562;362;282;710;208;3500550
Águas de São Pedro;2019;1375;169;210;713;283;3500600
Agudos;2019;9117;716;1364;5439;1598;3500709
Alambari;2019;997;98;221;552;126;3500758
Alfredo Marcondes;2019;895;69;140;551;135;3500808
Altair;2019;736;204;171;261;100;3500907
Altinópolis;2019;3745;741;840;1609;555;3501004
Alto Alegre;2019;481;75;107;222;77;3501103
Alumínio;2019;6423;214;383;4743;1083;3501152
Álvares Florence;2019;502;72;69;250;111;3501202
Álvares Machado;2019;3340;474;497;1730;639;3501301
Álvaro de Carvalho;2019;366;70;43;180;73;3501400
Alvinlândia;2019;337;77;42;133;85;3501509
Americana;2019;72602;5498;10455;44048;12601;3501608
Américo Brasiliense;2019;9607;1530;2209;4533;1335;3501707
Américo de Campos;2019;610;79;75;298;158;3501806
Amparo;2019;23836;3421;3924;12097;4394;3501905
Analândia;2019;1056;168;264;483;141;3502002
Andradina;2019;15973;1998;2619;8943;2413;3502101
Angatuba;2019;5293;1338;790;2660;505;3502200
Anhembi;2019;1073;183;227;484;179;3502309
Anhumas;2019;477;77;71;212;117;3502408
Aparecida;2019;11496;755;2214;6870;1657;3502507
Aparecida d'Oeste;2019;691;91;65;385;150;3502606
Apiaí;2019;4800;682;607;2951;560;3502705
Aramina;2019;763;49;182;397;135;3503000
Arandu;2019;1370;431;273;487;179;3503109
Arapeí;2019;387;123;44;137;83;3503158
Araraquara;2019;75690;4762;14241;42417;14270;3503208
Araras;2019;39056;5091;5619;21102;7244;3503307
Araçariguama;2019;9837;717;1512;6164;1444;3502754
Araçatuba;2019;52405;2745;7482;32005;10173;3502804
Araçoiaba da Serra;2019;5866;548;815;3372;1131;3502903
Arco-Íris;2019;327;39;47;168;73;3503356
Arealva;2019;1521;167;474;686;194;3503406
Areias;2019;605;148;131;231;95;3503505
Areiópolis;2019;1247;119;235;689;204;3503604
Ariranha;2019;3553;974;564;1505;510;3503703
Artur Nogueira;2019;9125;1262;1611;4826;1426;3503802
Arujá;2019;24611;1643;3054;16049;3865;3503901
Aspásia;2019;219;33;41;76;69;3503950
Assis;2019;22443;928;2186;14285;5044;3504008
Atibaia;2019;41050;3637;6316;24087;7010;3504107
Auriflama;2019;2583;210;390;1569;414;3504206
Avaí;2019;1328;333;251;622;122;3504305
Avanhandava;2019;1764;393;404;723;244;3504404
Avaré;2019;22410;2876;4379;12044;3111;3504503
Bady Bassitt;2019;3065;117;424;2001;523;3504602
Balbinos;2019;377;45;59;227;46;3504701
Bálsamo;2019;1476;117;268;842;249;3504800
Bananal;2019;1658;314;423;648;273;3504909
Barão de Antonina;2019;585;27;99;390;69;3505005
Barbosa;2019;629;91;144;266;128;3505104
Bariri;2019;8894;1320;2237;4188;1149;3505203
Barra Bonita;2019;11306;1469;1870;6386;1581;3505302
Barra do Chapéu;2019;738;348;106;220;64;3505351
Barra do Turvo;2019;689;34;181;323;151;3505401
Barretos;2019;32463;2749;4407;19233;6074;3505500
Barrinha;2019;3914;277;828;2211;598;3505609
Barueri;2019;275570;15502;25005;151679;83384;3505708
Bastos;2019;7221;1237;1399;3714;871;3505807
Batatais;2019;15850;2352;3004;7214;3280;3505906
Bauru;2019;128780;6634;17212;79892;25042;3506003
Bebedouro;2019;28967;7670;3557;12895;4845;3506102
Bento de Abreu;2019;880;187;145;444;104;3506201
Bernardino de Campos;2019;2573;194;343;1605;431;3506300
Bertioga;2019;13533;1393;1906;8309;1925;3506359
Bilac;2019;1459;59;171;1003;226;3506409
Birigui;2019;30662;2396;6196;17037;5033;3506508
Biritiba Mirim;2019;3511;480;623;1985;423;3506607
Boa Esperança do Sul;2019;2654;567;846;932;309;3506706
Bocaina;2019;3350;849;696;1410;395;3506805
Bofete;2019;1940;315;373;1060;192;3506904
Boituva;2019;21532;1691;3102;12776;3963;3507001
Bom Jesus dos Perdões;2019;5425;468;853;3362;742;3507100
Bom Sucesso de Itararé;2019;651;161;183;202;105;3507159
Borá;2019;787;234;95;372;86;3507209
Boracéia;2019;1417;156;310;774;177;3507308
Borborema;2019;2738;189;561;1660;328;3507407
Borebi;2019;769;153;139;388;89;3507456
Botucatu;2019;42263;2363;5028;25933;8939;3507506
Bragança Paulista;2019;45109;3319;6228;27710;7852;3507605
Braúna;2019;505;61;81;247;116;3507704
Brejo Alegre;2019;520;153;89;188;90;3507753
Brodowski;2019;5468;353;884;3387;844;3507803
Brotas;2019;7110;1178;1296;3821;815;3507902
Buri;2019;4964;1305;1320;1772;567;3508009
Buritama;2019;3724;494;579;2108;543;3508108
Buritizal;2019;1787;474;368;731;214;3508207
Cabrália Paulista;2019;819;182;131;409;97;3508306
Cabreúva;2019;14745;1619;2308;8528;2290;3508405
Cachoeira Paulista;2019;5256;442;479;3021;1314;3508603
Caconde;2019;2017;249;392;1030;346;3508702
Cafelândia;2019;3921;603;719;2221;378;3508801
Caiabu;2019;355;48;35;168;104;3508900
Caieiras;2019;20815;1941;2736;12918;3220;3509007
Caiuá;2019;546;72;79;257;138;3509106
Cajamar;2019;42474;4469;4708;25908;7389;3509205
Cajati;2019;6690;1029;1292;3496;873;3509254
Cajobi;2019;1501;214;225;804;258;3509304
Cajuru;2019;5092;1016;879;2466;731;3509403
Campina do Monte Alegre;2019;841;128;135;396;182;3509452
Campinas;2019;411949;22091;53742;227185;108931;3509502
Campo Limpo Paulista;2019;12038;846;1711;6967;2514;3509601
Campos do Jordão;2019;13028;1127;2918;7093;1890;3509700
Campos Novos Paulista;2019;721;77;167;326;151;3509809
Cananéia;2019;1602;302;165;843;292;3509908
Canas;2019;918;96;137;526;159;3509957
Cândido Mota;2019;6109;462;608;3900;1139;3510005
Cândido Rodrigues;2019;693;97;117;383;96;3510104
Canitar;2019;518;67;96;240;115;3510153
Capão Bonito;2019;8156;1027;1130;5088;911;3510203
Capela do Alto;2019;3482;893;685;1486;418;3510302
Capivari;2019;15267;1780;2974;8220;2293;3510401
Caraguatatuba;2019;26297;1763;3041;17017;4476;3510500
Carapicuíba;2019;37168;3561;5852;22529;5226;3510609
Cardoso;2019;1399;196;194;725;284;3510708
Casa Branca;2019;6748;1034;1225;3514;975;3510807
Cássia dos Coqueiros;2019;473;117;73;202;81;3510906
Castilho;2019;3001;499;546;1503;453;3511003
Catanduva;2019;36244;2648;4727;22293;6576;3511102
Catiguá;2019;712;85;114;362;151;3511201
Caçapava;2019;22083;1231;2472;14694;3686;3508504
Cedral;2019;4884;193;450;3305;936;3511300
Cerqueira César;2019;4484;691;709;2449;635;3511409
Cerquilho;2019;12814;1582;2237;7180;1815;3511508
Cesário Lange;2019;3662;327;820;1983;532;3511607
Charqueada;2019;2321;273;420;1202;426;3511706
Chavantes;2019;1681;267;226;776;412;3557204
Clementina;2019;2835;617;634;1280;304;3511904
Colina;2019;5536;799;1258;2666;813;3512001
Colômbia;2019;5148;3257;675;981;235;3512100
Conchal;2019;5894;731;1406;2991;766;3512209
Conchas;2019;3349;236;320;2379;414;3512308
Cordeirópolis;2019;10311;1239;2244;5221;1607;3512407
Coroados;2019;961;92;222;490;157;3512506
Coronel Macedo;2019;838;101;170;454;113;3512605
Corumbataí;2019;1102;170;289;490;153;3512704
Cosmópolis;2019;9879;994;1229;5867;1789;3512803
Cosmorama;2019;2245;353;410;1233;249;3512902
Cotia;2019;75971;6030;8602;45977;15362;3513009
Cravinhos;2019;8824;569;1193;5351;1711;3513108
Cristais Paulista;2019;1448;399;307;514;228;3513207
Cruzália;2019;387;39;116;128;104;3513306
Cruzeiro;2019;16488;748;1276;11141;3323;3513405
Cubatão;2019;24570;2459;3392;14636;4083;3513504
Cunha;2019;2292;483;434;1036;339;3513603
Descalvado;2019;9619;1296;2591;4323;1409;3513702
Diadema;2019;88242;6199;11896;55676;14471;3513801
Dirce Reis;2019;313;59;42;130;82;3513850
Divinolândia;2019;2273;209;307;1333;424;3513900
Dobrada;2019;730;84;126;366;154;3514007
Dois Córregos;2019;5148;544;1160;2655;789;3514106
Dolcinópolis;2019;269;52;29;127;61;3514205
Dourado;2019;2773;266;589;1570;348;3514304
Dracena;2019;11923;826;1560;7322;2215;3514403
Duartina;2019;2339;333;345;1303;358;3514502
Dumont;2019;2090;245;363;1162;320;3514601
Echaporã;2019;829;77;108;479;165;3514700
Eldorado;2019;2022;437;466;861;258;3514809
Elias Fausto;2019;5220;1166;944;2563;547;3514908
Elisiário;2019;554;157;97;231;69;3514924
Embaúba;2019;360;54;88;137;81;3514957
Embu das Artes;2019;46324;3718;6387;28497;7722;3515004
Embu-Guaçu;2019;8359;569;1016;5210;1564;3515103
Emilianópolis;2019;331;38;38;175;80;3515129
Engenheiro Coelho;2019;4819;369;672;2596;1182;3515152
Espírito Santo do Pinhal;2019;11664;1220;2308;6353;1783;3515186
Espírito Santo do Turvo;2019;549;107;73;271;98;3515194
Estiva Gerbi;2019;2385;528;399;1128;330;3557303
Estrela d'Oeste;2019;3621;737;718;1681;485;3515202
Estrela do Norte;2019;351;58;159;59;75;3515301
Euclides da Cunha Paulista;2019;743;68;89;449;137;3515350
Fartura;2019;3754;322;598;2365;469;3515400
Fernando Prestes;2019;1369;191;234;765;179;3515608
Fernandópolis;2019;16704;1392;2393;9558;3361;3515509
Fernão;2019;329;50;68;159;52;3515657
Ferraz de Vasconcelos;2019;19387;1269;2422;12938;2758;3515707
Flora Rica;2019;277;24;32;145;76;3515806
Floreal;2019;448;58;69;244;77;3515905
Flórida Paulista;2019;1360;78;335;769;178;3516002
Florínea;2019;495;78;86;236;95;3516101
Franca;2019;86654;6188;13614;52332;14520;3516200
Francisco Morato;2019;9635;572;1149;5588;2326;3516309
Franco da Rocha;2019;17889;960;1900;11994;3035;3516408
Gabriel Monteiro;2019;910;81;171;541;117;3516507
Gália;2019;1310;215;275;647;173;3516606
Garça;2019;10273;794;1423;6291;1765;3516705
Gastão Vidigal;2019;304;23;48;160;73;3516804
Gavião Peixoto;2019;4194;429;288;2168;1309;3516853
General Salgado;2019;1579;182;211;801;385;3516903
Getulina;2019;1241;242;367;525;107;3517000
Glicério;2019;877;140;265;336;136;3517109
Guaimbê;2019;555;72;153;233;97;3517307
Guaíra;2019;15072;3849;2950;6743;1530;3517406
Guaiçara;2019;1579;304;274;779;222;3517208
Guapiara;2019;2128;439;350;1057;282;3517604
Guapiaçu;2019;4746;830;987;2169;760;3517505
Guará;2019;3025;386;494;1510;635;3517703
Guaraci;2019;2466;476;306;1231;453;3517901
Guarani d'Oeste;2019;313;21;39;175;78;3518008
Guarantã;2019;1175;216;202;664;93;3518107
Guararapes;2019;6638;996;1259;3266;1117;3518206
Guararema;2019;8023;602;1040;4979;1402;3518305
Guaratinguetá;2019;31455;2025;5216;18656;5558;3518404
Guaraçaí;2019;1363;219;196;760;188;3517802
Guareí;2019;2345;541;203;1394;207;3518503
Guariba;2019;7258;773;1178;4256;1051;3518602
Guarujá;2019;47510;4535;7296;28156;7523;3518701
Guarulhos;2019;341395;21683;40002;221543;58167;3518800
Guatapará;2019;1537;110;367;793;267;3518859
Guzolândia;2019;609;92;108;320;89;3518909
Herculândia;2019;1250;224;176;673;177;3519006
Holambra;2019;10334;1828;3262;3923;1321;3519055
Hortolândia;2019;46467;2491;4686;24919;14371;3519071
Iacanga;2019;2990;515;526;1648;301;3519105
Iacri;2019;935;141;209;446;139;3519204
Iaras;2019;1739;240;237;932;330;3519253
Ibaté;2019;6222;769;1950;2766;737;3519303
Ibirá;2019;2019;242;195;1321;261;3519402
Ibirarema;2019;724;108;85;390;141;3519501
Ibitinga;2019;15703;1838;4131;8457;1277;3519600
Ibiúna;2019;14181;2248;2848;7299;1786;3519709
Icém;2019;978;156;156;495;171;3519808
Iepê;2019;1064;86;123;670;185;3519907
Igarapava;2019;5840;863;1201;2960;816;3520103
Igaratá;2019;1686;91;287;1027;281;3520202
Igaraçu do Tietê;2019;2328;222;343;1319;444;3520004
Iguape;2019;2803;185;282;1776;560;3520301
Ilha Comprida;2019;1700;40;207;1064;389;3520426
Ilha Solteira;2019;5023;294;588;3023;1118;3520442
Ilhabela;2019;9332;799;1301;5469;1763;3520400
Indaiatuba;2019;78478;4355;9249;48777;16097;3520509
Indiana;2019;618;54;120;329;115;3520608
Indiaporã;2019;279;40;48;137;54;3520707
Inúbia Paulista;2019;887;109;157;476;145;3520806
Ipaussu;2019;3513;631;573;1810;499;3520905
Iperó;2019;6396;449;931;3979;1037;3521002
Ipeúna;2019;1923;317;402;827;377;3521101
Ipiguá;2019;1189;138;173;740;138;3521150
Iporanga;2019;570;54;113;297;106;3521200
Ipuã;2019;2748;408;510;1397;433;3521309
Iracemápolis;2019;7229;997;1104;4034;1094;3521408
Irapuã;2019;1038;149;235;516;138;3521507
Irapuru;2019;666;19;73;409;165;3521606
Itaberá;2019;2831;314;782;1432;303;3521705
Itaí;2019;5160;969;942;2643;606;3521804
Itajobi;2019;3570;415;769;1884;502;3521903
Itaju;2019;614;60;168;286;100;3522000
Itanhaém;2019;15218;832;2013;9424;2949;3522109
Itaoca;2019;307;37;39;184;47;3522158
Itapecerica da Serra;2019;23031;1886;3168;13657;4320;3522208
Itapetininga;2019;36808;3038;4363;24550;4857;3522307
Itapeva;2019;20565;2014;4781;11146;2624;3522406
Itapevi;2019;34814;1424;4020;20399;8971;3522505
