Código IES;Município
28548;São Paulo
23139;São Paulo
25907;Votuporanga
24462;Indaiatuba
24024;Lorena
24025;Lorena
21416;Taubaté
1230;Espírito Santo do Pinhal
17014;São Paulo
1365;São Paulo
213;São Paulo
1225;Amparo
1045;Leme
376;São Paulo
242;Santo André
1841;Presidente Prudente
461;São Paulo
161;São Paulo
138;Ribeirão Preto
1816;Bauru
162;São Paulo
526;Mogi das Cruzes
1273;Campo Limpo Paulista
1100;São Paulo
206;São Paulo
4522;Lins
707;São Carlos
2056;Tupã
3641;Barretos
1878;São Bernardo do Campo
1043;Araras
1294;São Paulo
217;São João da Boa Vista
265;Ourinhos
374;São Paulo
1292;Adamantina
125;Araras
997;Bauru
1892;Guarulhos
1434;Itapira
1490;Jaguariúna
1224;Jales
1846;Lins
1949;Paulínia
1711;Presidente Prudente
146;São José do Rio Preto
1356;Santa Fé do Sul
1313;Suzano
1742;São Paulo
1762;São Paulo
222;Votuporanga
1445;São Caetano do Sul
491;Guarujá
1129;São José do Rio Preto
1554;Registro
1444;Limeira
1270;Ribeirão Preto
3779;Santo André
793;São Paulo
5669;São José dos Campos
3529;Marília
1438;Campinas
672;Sorocaba
17608;São Paulo
3294;Guarulhos
244;Osasco
224;Santo André
1836;São João da Boa Vista
2183;Santo André
2494;Pindamonhangaba
226;Santos
2123;Indaiatuba
2279;Campinas
483;Guarulhos
1187;Caraguatatuba
207;Ribeirão Preto
60;Franca
1149;Itu
5215;Catanduva
4017;Jundiaí
360;São Paulo
14715;Suzano
137;Bauru
1032;Americana
652;Pindamonhangaba
456;São Paulo
737;São Paulo
502;Santos
923;São Roque
3985;São Paulo
1526;São Paulo
1317;Avaré
1388;São Paulo
738;Lorena
1418;Araçatuba
2625;São José dos Campos
254;São Paulo
1853;São Paulo
5312;Atibaia
2774;Bebedouro
17854;Taboão da Serra
898;São Paulo
135;Batatais
1854;Rio Claro
21876;Itápolis
18035;São Paulo
1828;São Paulo
151;São Paulo
26529;São Paulo
2128;São Paulo
2129;São Paulo
23291;São Paulo
67;Piracicaba
24507;São Paulo
26044;São Paulo
373;São Paulo
13845;São Paulo
1221;Paraguaçu Paulista
4829;São Paulo
608;Cruzeiro
25148;Marília
94;Jundiaí
4104;São Paulo
26709;Ribeirão Preto
636;São Paulo
25445;Guarulhos
11289;São Paulo
23236;Guarulhos
23242;São Bernardo do Campo
16948;São Paulo
22627;São Bernardo do Campo
16502;Franca
3428;Praia Grande
17928;Itapevi
25181;Osasco
25467;São Paulo
1290;São Paulo
23123;São Paulo
21573;São Paulo
20476;São Paulo
22603;São Paulo
26582;São Paulo
22605;São Paulo
5451;Bauru
4826;Campinas
21900;Catanduva
3603;Guarulhos
3937;Indaiatuba
4878;Itapecerica da Serra
23893;Itapetininga
21554;Itapeva
5555;Jacareí
21239;Jaú
1412;Jundiaí
2355;Matão
1345;Osasco
12791;Pindamonhangaba
4656;Piracicaba
5288;Ribeirão Preto
4013;Rio Claro
4138;Santa Bárbara d´Oeste
1478;São Bernardo do Campo
4652;São José dos Campos
21238;São José do Rio Preto
1456;Sertãozinho
4655;Sorocaba
11308;Sumaré
1499;Taboão da Serra
4141;Taubaté
1776;Jundiaí
3612;Valinhos
21693;Franca
1502;Jundiaí
26096;Lins
1756;São Paulo
22866;São Paulo
22452;Fernandópolis
22814;São Paulo
1752;São Paulo
2971;Barretos
26400;São Paulo
25455;São Paulo
1432;Bertioga
2726;São José dos Campos
1933;Birigui
24217;Jaboticabal
1048;São Paulo
13527;Cachoeira Paulista
1373;Casa Branca
200;São Paulo
15859;Marília
625;Capivari
4681;São Paulo
3533;São José do Rio Preto
23022;São Paulo
2039;Ilha Solteira
22527;Santo André
24196;Santo André
4889;Conchas
24326;São Paulo
24066;São José dos Campos
26205;São Paulo
22028;São Paulo
16864;São Paulo
24046;São Paulo
18019;São Paulo
845;Araçatuba
22606;São Paulo
23333;São Paulo
492;Guaratinguetá
1497;Santa Cruz do Rio Pardo
1788;Limeira
20465;Holambra
1834;Agudos
1310;Americana
3436;Araraquara
721;Assis
1545;Boituva
17593;Botucatu
2879;Caieiras
1623;Andradina
543;Osasco
14892;Barretos
21764;São Paulo
26543;São Paulo
495;Bragança Paulista
843;Birigui
18066;São Paulo
1144;Mairiporã
4724;Cruzeiro
22237;Assis
415;São Paulo
17887;São José dos Campos
